lineId,direction,sequence,stopId
1439,1,1,801021
1439,1,2,801011
1439,1,3,700011
1439,1,4,600011
1439,1,5,300012
1439,1,6,300014
1439,2,1,300014
1439,2,2,600012
1439,2,3,700012
1439,2,4,801021
1512,1,1,704011
1512,1,2,704141
1512,1,3,704151
1512,1,4,604031
1512,1,5,603141
1512,1,6,603041
1512,1,7,603031
1512,1,8,603021
1512,1,9,603011
1512,1,10,602031
1512,1,11,602041
1512,1,12,602051
1512,1,13,602021
1512,1,14,601011
1512,1,15,600021
1512,1,16,700012
1512,1,17,801012
1512,1,18,802012
1512,1,19,802022
1512,1,20,803014
1512,1,21,803022
1512,1,22,803032
1512,1,23,803042
1512,1,24,804012
1512,1,25,804022
1512,1,26,804032
1512,1,27,804042
1512,1,28,804252
1512,1,29,804241
1512,2,1,804241
1512,2,2,804251
1512,2,3,804041
1512,2,4,804031
1512,2,5,804021
1512,2,6,804011
1512,2,7,803041
1512,2,8,803031
1512,2,9,803021
1512,2,10,803011
1512,2,11,802021
1512,2,12,802011
1512,2,13,801011
1512,2,14,700011
1512,2,15,600022
1512,2,16,601012
1512,2,17,602022
1512,2,18,602052
1512,2,19,602042
1512,2,20,602032
1512,2,21,603012
1512,2,22,603022
1512,2,23,603032
1512,2,24,603044
1512,2,25,603142
1512,2,26,604032
1512,2,27,704152
1512,2,28,704142
1512,2,29,704011
1079,1,1,704011
1079,1,2,704141
1079,1,3,704151
1079,1,4,604031
1079,1,5,603141
1079,1,6,603041
1079,1,7,603031
1079,1,8,603021
1079,1,9,603011
1079,1,10,602031
1079,1,11,602041
1079,1,12,602051
1079,1,13,602021
1079,1,14,601011
1079,1,15,600021
1079,1,16,700012
1079,1,17,801012
1079,1,18,802012
1079,1,19,802022
1079,1,20,803014
1079,1,21,803022
1079,1,22,803032
1079,1,23,803042
1079,1,24,804012
1079,1,25,804022
1079,1,26,804032
1079,1,27,804042
1079,1,28,804252
1079,1,29,804241
1079,2,1,804241
1079,2,2,804251
1079,2,3,804041
1079,2,4,804031
1079,2,5,804021
1079,2,6,804011
1079,2,7,803041
1079,2,8,803031
1079,2,9,803021
1079,2,10,803011
1079,2,11,802021
1079,2,12,802011
1079,2,13,801011
1079,2,14,700011
1079,2,15,600022
1079,2,16,601012
1079,2,17,602022
1079,2,18,602052
1079,2,19,602042
1079,2,20,602032
1079,2,21,603012
1079,2,22,603022
1079,2,23,603032
1079,2,24,603044
1079,2,25,603142
1079,2,26,604032
1079,2,27,704152
1079,2,28,704142
1079,2,29,704011
1513,1,1,704011
1513,1,2,704141
1513,1,3,704151
1513,1,4,604031
1513,1,5,603141
1513,1,6,603041
1513,1,7,603031
1513,1,8,603021
1513,1,9,603011
1513,1,10,602031
1513,1,11,602041
1513,1,12,602051
1513,1,13,602021
1513,1,14,601011
1513,1,15,600021
1513,1,16,700012
1513,1,17,801012
1513,1,18,802012
1513,1,19,802022
1513,1,20,803014
1513,1,21,803022
1513,1,22,803032
1513,1,23,803042
1513,1,24,804012
1513,1,25,804022
1513,1,26,804032
1513,1,27,804042
1513,1,28,804252
1513,1,29,804241
1513,1,30,804082
1513,1,31,804092
1513,1,32,804102
1513,1,33,804112
1513,1,34,804142
1513,1,35,804152
1513,1,36,104192
1513,1,37,104202
1513,1,38,104212
1513,1,39,104221
1513,2,1,104221
1513,2,2,104211
1513,2,3,104201
1513,2,4,104191
1513,2,5,804151
1513,2,6,804141
1513,2,7,804111
1513,2,8,804101
1513,2,9,804091
1513,2,10,804081
1513,2,11,804252
1513,2,12,804241
1513,2,13,804251
1513,2,14,804041
1513,2,15,804031
1513,2,16,804021
1513,2,17,804011
1513,2,18,803041
1513,2,19,803031
1513,2,20,803021
1513,2,21,803011
1513,2,22,802021
1513,2,23,802011
1513,2,24,801011
1513,2,25,700011
1513,2,26,600022
1513,2,27,601012
1513,2,28,602022
1513,2,29,602052
1513,2,30,602042
1513,2,31,602032
1513,2,32,603012
1513,2,33,603022
1513,2,34,603032
1513,2,35,603044
1513,2,36,603142
1513,2,37,604032
1513,2,38,704152
1513,2,39,704142
1513,2,40,704011
1507,1,1,600012
1507,1,2,700012
1507,1,3,801012
1507,1,4,802012
1507,1,5,802022
1507,1,6,803014
1507,1,7,803022
1507,1,8,803032
1507,1,9,803042
1507,1,10,804012
1507,1,11,804022
1507,1,12,804032
1507,1,13,804042
1507,1,14,804252
1507,1,15,804241
1507,1,16,804082
1507,1,17,804092
1507,1,18,804102
1507,1,19,804112
1507,1,20,804142
1507,1,21,804152
1507,1,22,104192
1507,1,23,104202
1507,1,24,104212
1507,1,25,104221
1507,2,1,104221
1507,2,2,104211
1507,2,3,104201
1507,2,4,104191
1507,2,5,804151
1507,2,6,804141
1507,2,7,804121
1507,2,8,804131
1507,2,9,804111
1507,2,10,804101
1507,2,11,804091
1507,2,12,804081
1507,2,13,804252
1507,2,14,804241
1507,2,15,804251
1507,2,16,804041
1507,2,17,804031
1507,2,18,804021
1507,2,19,804011
1507,2,20,803041
